SENTENCE_INDEX,FORM,XPOSTAG,UPOSTAG,ID,SENTENCE_LENGTH,LEMMA,FEATS,HEAD,DEPREL,DEPS,MISC,SENTENCE,IS_DIALOUGE
0,Scarlett,NNP,NOUN,1,20,_,_,2,nn,_,_,"Scarlett O'Hara was not beautiful, but men seldom realized it when caught by her charm as the Tarleton twins were",False
0,O'Hara,NNP,NOUN,2,20,_,_,5,nsubj,_,_,"Scarlett O'Hara was not beautiful, but men seldom realized it when caught by her charm as the Tarleton twins were",False
0,was,VBD,VERB,3,20,_,_,5,cop,_,_,"Scarlett O'Hara was not beautiful, but men seldom realized it when caught by her charm as the Tarleton twins were",False
0,not,RB,ADV,4,20,_,_,5,neg,_,_,"Scarlett O'Hara was not beautiful, but men seldom realized it when caught by her charm as the Tarleton twins were",False
0,beautiful,JJ,ADJ,5,20,_,_,0,ROOT,_,_,"Scarlett O'Hara was not beautiful, but men seldom realized it when caught by her charm as the Tarleton twins were",False
0,,.,_,6,20,,,,_,5,punct,"Scarlett O'Hara was not beautiful, but men seldom realized it when caught by her charm as the Tarleton twins were",False
0,but,CC,CONJ,7,20,_,_,5,cc,_,_,"Scarlett O'Hara was not beautiful, but men seldom realized it when caught by her charm as the Tarleton twins were",False
0,men,NNS,NOUN,8,20,_,_,10,nsubj,_,_,"Scarlett O'Hara was not beautiful, but men seldom realized it when caught by her charm as the Tarleton twins were",False
0,seldom,RB,ADV,9,20,_,_,10,advmod,_,_,"Scarlett O'Hara was not beautiful, but men seldom realized it when caught by her charm as the Tarleton twins were",False
0,realized,VBD,VERB,10,20,_,_,5,conj,_,_,"Scarlett O'Hara was not beautiful, but men seldom realized it when caught by her charm as the Tarleton twins were",False
0,it,PRP,PRON,11,20,_,_,10,dobj,_,_,"Scarlett O'Hara was not beautiful, but men seldom realized it when caught by her charm as the Tarleton twins were",False
0,when,WRB,ADV,12,20,_,_,13,advmod,_,_,"Scarlett O'Hara was not beautiful, but men seldom realized it when caught by her charm as the Tarleton twins were",False
0,caught,VBN,VERB,13,20,_,_,10,advcl,_,_,"Scarlett O'Hara was not beautiful, but men seldom realized it when caught by her charm as the Tarleton twins were",False
0,by,IN,ADP,14,20,_,_,13,prep,_,_,"Scarlett O'Hara was not beautiful, but men seldom realized it when caught by her charm as the Tarleton twins were",False
0,her,PRP$,PRON,15,20,_,_,16,poss,_,_,"Scarlett O'Hara was not beautiful, but men seldom realized it when caught by her charm as the Tarleton twins were",False
0,charm,NN,NOUN,16,20,_,_,14,pobj,_,_,"Scarlett O'Hara was not beautiful, but men seldom realized it when caught by her charm as the Tarleton twins were",False
0,as,IN,ADP,17,20,_,_,21,mark,_,_,"Scarlett O'Hara was not beautiful, but men seldom realized it when caught by her charm as the Tarleton twins were",False
0,the,DT,DET,18,20,_,_,20,det,_,_,"Scarlett O'Hara was not beautiful, but men seldom realized it when caught by her charm as the Tarleton twins were",False
0,Tarleton,NNP,NOUN,19,20,_,_,20,nn,_,_,"Scarlett O'Hara was not beautiful, but men seldom realized it when caught by her charm as the Tarleton twins were",False
0,twins,NNS,NOUN,20,20,_,_,21,nsubj,_,_,"Scarlett O'Hara was not beautiful, but men seldom realized it when caught by her charm as the Tarleton twins were",False
0,were,VBD,VERB,21,20,_,_,16,dep,_,_,"Scarlett O'Hara was not beautiful, but men seldom realized it when caught by her charm as the Tarleton twins were",False
