SENTENCE_INDEX,FORM,XPOSTAG,UPOSTAG,ID,SENTENCE_LENGTH,LEMMA,FEATS,HEAD,DEPREL,DEPS,MISC,SENTENCE,IS_DIALOUGE
0,'T,DT,DET,1,23,_,_,3,nsubj,_,_,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
0,was,VBD,VERB,2,23,_,_,3,cop,_,_,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
0,brillig,JJ,ADJ,3,23,_,_,0,ROOT,_,_,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
0,,.,_,4,23,,,,_,3,punct,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
0,and,CC,CONJ,5,23,_,_,3,cc,_,_,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
0,the,DT,DET,6,23,_,_,8,det,_,_,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
0,slithy,JJ,ADJ,7,23,_,_,8,amod,_,_,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
0,toves,NNS,NOUN,8,23,_,_,10,nsubj,_,_,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
0,Did,VBD,VERB,9,23,_,_,10,aux,_,_,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
0,gyre,VB,VERB,10,23,_,_,3,conj,_,_,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
0,and,CC,CONJ,11,23,_,_,10,cc,_,_,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
0,gimble,VB,VERB,12,23,_,_,10,conj,_,_,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
0,in,IN,ADP,13,23,_,_,10,prep,_,_,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
0,the,DT,DET,14,23,_,_,15,det,_,_,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
0,wabe,NN,NOUN,15,23,_,_,13,pobj,_,_,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
0,;,:,.,16,23,_,_,3,punct,_,_,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
0,All,DT,DET,17,23,_,_,18,det,_,_,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
0,mimsy,NN,NOUN,18,23,_,_,21,nsubj,_,_,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
0,were,VBD,VERB,19,23,_,_,21,cop,_,_,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
0,the,DT,DET,20,23,_,_,21,det,_,_,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
0,borogoves,NNS,NOUN,21,23,_,_,3,parataxis,_,_,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
0,,.,_,22,23,,,,_,21,punct,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
0,And,CC,CONJ,23,23,_,_,21,cc,_,_,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
0,the,DT,DET,24,23,_,_,25,det,_,_,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
0,mome,NN,NOUN,25,23,_,_,26,nsubj,_,_,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
0,raths,NNS,NOUN,26,23,_,_,21,conj,_,_,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
0,outgrabe,NN,NOUN,27,23,_,_,26,dobj,_,_,"'Twas brillig, and the slithy toves  Did gyre and gimble in the wabe; All mimsy were the borogoves, And the mome raths outgrabe",False
1,``,``,.,1,22,_,_,7,punct,_,_,"""Beware the Jabberwock, my son  The jaws that bite, the claws that catch! Beware the Jubjub bird, and shun  The frumious Bandersnatch!""",True
1,Beware,VB,VERB,2,22,_,_,7,dep,_,_,"""Beware the Jabberwock, my son  The jaws that bite, the claws that catch! Beware the Jubjub bird, and shun  The frumious Bandersnatch!""",True
1,the,DT,DET,3,22,_,_,4,det,_,_,"""Beware the Jabberwock, my son  The jaws that bite, the claws that catch! Beware the Jubjub bird, and shun  The frumious Bandersnatch!""",True
1,Jabberwock,NNP,NOUN,4,22,_,_,2,dobj,_,_,"""Beware the Jabberwock, my son  The jaws that bite, the claws that catch! Beware the Jubjub bird, and shun  The frumious Bandersnatch!""",True
1,,.,_,5,22,,,,_,7,punct,"""Beware the Jabberwock, my son  The jaws that bite, the claws that catch! Beware the Jubjub bird, and shun  The frumious Bandersnatch!""",True
