SENTENCE_INDEX,FORM,XPOSTAG,UPOSTAG,ID,SENTENCE_LENGTH,LEMMA,FEATS,HEAD,DEPREL,DEPS,MISC,SENTENCE,IS_DIALOUGE
0,One,CD,NUM,1,20,_,_,2,num,_,_,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin",False
0,morning,NN,NOUN,2,20,_,_,13,tmod,_,_,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin",False
0,,.,_,3,20,,,,_,13,punct,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin",False
0,when,WRB,ADV,4,20,_,_,7,advmod,_,_,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin",False
0,Gregor,NNP,NOUN,5,20,_,_,6,nn,_,_,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin",False
0,Samsa,NNP,NOUN,6,20,_,_,7,nsubj,_,_,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin",False
0,woke,VBD,VERB,7,20,_,_,13,advcl,_,_,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin",False
0,from,IN,ADP,8,20,_,_,7,prep,_,_,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin",False
0,troubled,JJ,ADJ,9,20,_,_,10,amod,_,_,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin",False
0,dreams,NNS,NOUN,10,20,_,_,8,pobj,_,_,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin",False
0,,.,_,11,20,,,,_,13,punct,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin",False
0,he,PRP,PRON,12,20,_,_,13,nsubj,_,_,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin",False
0,found,VBD,VERB,13,20,_,_,0,ROOT,_,_,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin",False
0,himself,PRP,PRON,14,20,_,_,15,nsubj,_,_,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin",False
0,transformed,VBN,VERB,15,20,_,_,13,dep,_,_,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin",False
0,in,IN,ADP,16,20,_,_,15,prep,_,_,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin",False
0,his,PRP$,PRON,17,20,_,_,18,poss,_,_,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin",False
0,bed,NN,NOUN,18,20,_,_,16,pobj,_,_,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin",False
0,into,IN,ADP,19,20,_,_,15,prep,_,_,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin",False
0,a,DT,DET,20,20,_,_,22,det,_,_,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin",False
0,horrible,JJ,ADJ,21,20,_,_,22,amod,_,_,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin",False
0,vermin,NN,NOUN,22,20,_,_,19,pobj,_,_,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin",False
1,He,PRP,PRON,1,29,_,_,2,nsubj,_,_,"He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections",False
1,lay,VBD,VERB,2,29,_,_,0,ROOT,_,_,"He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections",False
1,on,IN,ADP,3,29,_,_,2,prep,_,_,"He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections",False
1,his,PRP$,PRON,4,29,_,_,5,poss,_,_,"He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections",False
1,armour-like,JJ,ADJ,5,29,_,_,3,pobj,_,_,"He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections",False
1,back,RB,ADV,6,29,_,_,2,advmod,_,_,"He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections",False
